"FACILITY_NAME","DRG","Total"
"SOVAH HEALTH - DANVILLE         ","003",579916.333333333
,"004",272881.444444444
,"011",124042.75
,"012",65036
,"028",45963
,"030",83863
,"040",206964
,"054",38645.6666666667
,"055",33289
,"056",61210.5
,"057",50165.6829268293
,"058",49039
,"059",24893
,"060",15814
,"061",116607.125
,"062",88815.2222222222
,"064",47530.3962264151
,"065",33589.4805194805
,"066",23236.4285714286
,"068",36670
,"069",28576.9574468085
,"070",36906.75
,"071",34946.1538461538
,"073",36788.1666666667
,"074",33417.6
,"075",29379
,"077",24340.6666666667
,"078",17847
,"079",86034
,"086",17265
,"091",42519.2666666667
,"092",38711
,"093",14870
,"094",130999.333333333
,"095",132240
,"096",56329
,"097",65106.5
,"098",16948
,"100",37883.5517241379
,"101",25384.2380952381
,"102",23729
,"103",28437.4285714286
,"124",37714
,"133",40077.5
,"134",25379
,"149",17583.7777777778
,"150",28075
,"153",13930.1111111111
,"156",8697
,"158",20837.5
,"166",77882.2068965517
,"167",42350.6
,"175",32214.5555555556
,"176",23889.9166666667
,"177",57202.7575757576
,"178",23967.2
,"180",55556.1111111111
,"181",63838
,"182",8017
,"183",23369
,"186",64839.25
,"187",23022
,"189",33447.5279503106
,"190",28290.792746114
,"191",26070.6666666667
,"192",33758.6666666667
,"193",36831.2647058824
,"194",27883.2
,"195",15474.4444444444
,"196",34311.6666666667
,"197",19359
,"198",12024
,"199",27970.5
,"200",31722.3333333333
,"201",19276.25
,"202",22627.0384615385
,"203",15544.2727272727
,"204",19936.3333333333
,"205",39389.6363636364
,"206",30930.8
,"207",152496.090909091
,"208",71548.9534883721
,"215",129995.5
,"224",230141
,"226",234322
,"227",124319
,"229",104880
,"239",96437.5
,"240",84170.4
,"241",76200
,"242",105031.75
,"243",81728.3
,"244",81710
,"246",119033.545454545
,"247",104141.636363636
,"248",187872
,"249",100074.25
,"252",125443.333333333
,"255",117213
,"260",28896
,"264",87666.8333333333
,"270",175795.8
,"271",146104
,"272",113842
,"280",43195.1777777778
,"281",39222.8918918919
,"282",42481.32
,"283",41751.1111111111
,"284",34054
,"285",20183
,"286",78133.375
,"287",58028.925
,"288",19080
,"291",29486.7261904762
,"292",21086.2580645161
,"293",15811.5714285714
,"295",32102
,"296",53723
,"299",41366.2727272727
,"300",24528.2352941176
,"301",19742
,"302",24745
,"303",13713.5
,"304",22507.1860465116
,"305",20807.8214285714
,"306",12322
,"308",26962.1777777778
,"309",20125.6326530612
,"310",16225.3947368421
,"311",27674.4285714286
,"312",24069.8
,"313",22758.3
,"314",54758.7222222222
,"315",18664
,"316",18731.5
,"326",51285
,"327",104245.5
,"328",62559.5
,"329",146438.8125
,"330",92764.7428571429
,"331",73932.0588235294
,"335",97653
,"336",103349.857142857
,"337",72713.6
,"338",63571
,"339",70232.75
,"340",61850.6
,"342",65606.5
,"343",47652.3333333333
,"344",60531.5
,"346",32081
,"348",42869
,"349",22935
,"350",49674
,"351",45363.5
,"353",77951.3333333333
,"354",47307
,"355",41345.3333333333
,"356",53227.6666666667
,"357",80894
,"369",41283
,"370",27920
,"371",39362.375
,"372",27958.7777777778
,"373",23493.5
,"374",116044.666666667
,"375",29478.25
,"377",43158.82
,"378",32923.2361111111
,"379",25989.0833333333
,"380",72442.5
,"385",21454
,"386",28114.6666666667
,"387",27155
,"388",42897.9285714286
,"389",24711.4782608696
,"390",22614.9642857143
,"391",33366.7
,"392",26757.7572815534
,"393",39501
,"394",27958.1428571429
,"395",29925.25
,"405",72613
,"414",77812
,"415",62960
,"416",54963.5
,"417",97524.75
,"418",63924.6666666667
,"419",52115.3333333333
,"420",43719
,"432",51019.375
,"433",38387.7777777778
,"435",27298
,"436",54031.1666666667
,"438",45494.9
,"439",25200.84
,"440",19884.5185185185
,"441",48301.5
,"442",27806.7333333333
,"443",16178.3333333333
,"444",47426
,"445",33654.9090909091
,"446",33772.5
,"454",213454.5
,"457",256139
,"459",200612
,"460",179713.55
,"463",94661.5
,"467",120446
,"468",90702
,"469",104175.785714286
,"470",81757.1226415094
,"472",155184.333333333
,"473",118522.9
,"475",65418.5
,"480",100062.3125
,"481",77043.6666666667
,"482",65042.5882352941
,"483",88066.75
,"489",63920
,"493",80271.7142857143
,"494",71502.7272727273
,"500",54745.5
,"501",66004.8
,"502",151000
,"503",50709
,"504",48838
,"511",93397
,"512",61417
,"514",31526.3333333333
,"515",76520.5
,"516",57472.5
,"517",78877.75
,"518",148051
,"519",103337
,"520",66151.0833333333
,"534",25769.75
,"535",57244.8
,"536",22202.45
,"539",34174.5
,"540",32547.75
,"541",46874
,"542",37974.5
,"543",23468
,"545",54867
,"547",25081
,"551",45410.75
,"552",36137.0909090909
,"553",29711.5
,"554",22257.5
,"555",29038.5
,"556",23896.3333333333
,"557",28515.5
,"558",21815.8260869565
,"559",76354.6
,"560",57395.4615384615
,"561",32475.5
,"562",34151.3333333333
,"563",27605.4444444444
,"564",80532.5
,"565",27098.75
,"566",4852
,"570",31043
,"571",42513.75
,"572",55034.25
,"579",90853
,"580",48141.5555555556
,"581",40714.7142857143
,"583",42016
,"592",42597
,"593",33689
,"597",53917
,"601",23498
,"602",40715.7
,"603",25014.0943396226
,"604",64081.5
,"605",30880
,"606",43241
,"607",17634
,"616",84745
,"617",65572
,"624",75925
,"628",59774
,"637",31285.3548387097
,"638",23416.1086956522
,"639",18751.3636363636
,"640",29830.7333333333
,"641",17896.1090909091
,"642",41591.8
,"643",38461.5
,"644",26423.125
,"645",23796.5
,"653",59998
,"654",91366
,"659",63561
,"660",40293.25
,"661",36555
,"663",46713.2
,"664",27661
,"669",43562.2
,"670",72598.5
,"671",54637
,"682",35732.4743589744
,"683",26541.7875
,"684",18255.2941176471
,"687",28608
,"689",32809.975
,"690",23477.1428571429
,"693",51638
,"694",26545.9285714286
,"696",26451.3333333333
,"698",49620.6382978723
,"699",30483.125
,"700",24452
,"717",47973.8
,"722",43223.5
,"725",21637
,"726",19641.6666666667
,"727",2995
,"741",42130
,"742",46671
,"743",46197.4318181818
,"744",49806
,"745",33305
,"748",22362
,"755",47602
,"758",26159
,"759",19315.6666666667
,"760",36118
,"761",27456
,"765",38252.4565217391
,"766",32468.6526315789
,"767",31176.652173913
,"768",30541.5
,"769",35954.2
,"774",16161.7555555556
,"775",14927.3149350649
,"776",18982.5625
,"777",39522.25
,"779",24327.3333333333
,"781",15110.5
,"782",20388
,"783",34171
,"784",31968
,"785",38809.5
,"787",71630
,"788",32801.1578947368
,"789",6145.10526315789
,"790",2800
,"791",21729
,"792",7043.14285714286
,"793",9656.66666666667
,"794",6980.63768115942
,"795",5285.34475806452
,"798",36203.1666666667
,"799",291070
,"806",15476.6
,"807",17347.625
,"808",31425.6666666667
,"809",28292
,"810",30428
,"811",34029.7083333333
,"812",26080.0222222222
,"813",75768.6666666667
,"815",24859
,"817",44207
,"822",65166
,"829",34070
,"831",20567.5
,"832",37745
,"833",17527
,"835",24107
,"840",259322.333333333
,"841",10583
,"842",18276
,"843",134943
,"853",139570.842105263
,"854",80072.0625
,"856",51871
,"857",38894
,"862",35076
,"863",41539
,"864",14882
,"865",20462.5
,"866",21473
,"870",175054.923076923
,"871",55154.3717001056
,"872",31474.5739910314
,"880",31016.0909090909
,"881",17945.2096774194
,"882",7032
,"883",16195
,"884",47734.5714285714
,"885",28130.6563876652
,"887",28763
,"894",30732.4444444444
,"896",34890
,"897",20952.3188405797
,"901",180649
,"902",48135
,"907",97791.6
,"908",101167.25
,"909",22485
,"915",47834.25
,"916",30882.4
,"917",47514.6
,"918",23763.6944444444
,"919",33418.6
,"920",19627
,"921",35436.3333333333
,"922",17597.5
,"923",33217
,"941",41945
,"945",81917
,"947",20759.4
,"948",22868.1
,"949",42637
,"950",29214.3333333333
,"951",16418.4285714286
,"957",62227
,"958",89832.5
,"963",43681.5
,"964",38079.6666666667
,"965",26290
,"974",50904.5555555556
,"975",25919
,"977",62265
,"981",84025.25
,"982",45333.25
,"983",43097
,"987",171997.666666667
,"988",38007
,"989",51955
